video,length_hours,dataset_path
Всё об iOS разработке Сила soft skills Интервью с Senior iOS Developer,1.35,aanosov/mfdp_youtube_20230528
Всё про автоматизацию тестирования игр QA Automation TechLead из Wargaming,1.7,aanosov/mfdp_youtube_20230528
Встраивание ИИ в наш МОЗГ Нейроинтерфейсы будущего СИНГУЛЯРНОСТЬ БЛИЗКО,1.92,aanosov/mfdp_youtube_20230528
Жив ли Ruby О комьюнити и Рельсы Всё о Ruby Интервью с Senior Ruby Developer,1.97,aanosov/mfdp_youtube_20230528
Из ЛИНГВИСТА в ПРОЕКТНЫЕ МЕНЕДЖЕРЫ Ещё раз про Project Management,2.1,aanosov/mfdp_youtube_20230528
Из питониста во фронтендеры собеседуем джуниора с бэкенд опытом Микротаски промисы и лайвкодинг,1.96,aanosov/mfdp_youtube_20230528
Из Ульяновска в Кремниевую Долину Сетки полигоны и 3D графика Интервью Максом Михеенко,2.14,aanosov/mfdp_youtube_20230528
Как устроены ПРОЦЕССОРЫ Удаленный доступ через Intel vPro Интервью с инженером Intel,2.47,aanosov/mfdp_youtube_20230528
Мок интервью для джуна фронтендера собеседование с лайвкодингом,1.22,aanosov/mfdp_youtube_20230528
Публичное собеседование middle iOS разработчик Хекслет Podlodka iOS Crew,1.72,aanosov/mfdp_youtube_20230528
Публичное собеседование Python программист Хекслет,1.47,aanosov/mfdp_youtube_20230528
Публичное собеседование фронтендер Хекслет CSSSR,1.4,aanosov/mfdp_youtube_20230528
СИЛА Функционального Программирования Всё о Scala Интервью со Scala Developer Олегом Нижниковым,1.75,aanosov/mfdp_youtube_20230528
Сложно ли войти в QA в 2023 Из тестировщика молочной продукции в IT Артём Русов,0.93,aanosov/mfdp_youtube_20230528
Собеседование frontend разработчика для X5Tech,2.49,aanosov/mfdp_youtube_20230528
Собеседование python разработчика для Авито,2.05,aanosov/mfdp_youtube_20230528
Собеседование senior backend разработчика Node js,2.24,aanosov/mfdp_youtube_20230528
Собеседование Мидл фулстек Redux JS Вопросы о GET и POST Бесконечные крестики нолики,1.04,aanosov/mfdp_youtube_20230528
Собеседование на JUNIOR RUBY разработчика RoR разработчик,1.2,aanosov/mfdp_youtube_20230528
Собственная ДОМЕННАЯ ЗОНА Держатели зон BY и БЕЛ Интервью с СЕО hoster by Сергеем Повалишевым,1.88,aanosov/mfdp_youtube_20230528
